ISO 8601 Date Time,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft),Elevation (ft) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs),Outflow (cfs) notes, Precip @ Dam (in), Precip @ Dam (in) notes,Gross Pool,Gross Pool(elev)
2019-11-19T24:00:00-08:00,398156.99,0,240681.00,0,508.23,0,643.00,0,1278.00,0,0.00,0,520500.00,578.00
2019-11-20T24:00:00-08:00,397826.99,0,238956.00,0,507.68,0,344.00,0,1212.00,0,0.00,0,520500.00,578.00
2019-11-21T24:00:00-08:00,397521.99,0,237236.00,0,507.13,0,248.00,0,1107.00,0,0.00,0,520500.00,578.00
2019-11-22T24:00:00-08:00,397213.99,0,236148.00,0,506.78,0,383.00,0,920.00,0,0.00,0,520500.00,578.00
2019-11-23T24:00:00-08:00,396896.99,0,235031.00,0,506.42,0,322.00,0,875.00,0,0.00,0,520500.00,578.00
2019-11-24T24:00:00-08:00,396597.99,0,234101.00,0,506.12,0,452.00,0,916.00,0,0.00,0,520500.00,578.00
2019-11-25T24:00:00-08:00,396320.99,0,233544.00,0,505.94,0,576.00,0,837.00,0,0.00,0,520500.00,578.00
2019-11-26T24:00:00-08:00,395991.99,0,233298.00,0,505.86,0,622.00,0,735.00,0,0.46,0,520500.00,578.00
2019-11-27T24:00:00-08:00,395634.99,0,233175.00,0,505.82,0,639.00,0,690.00,0,0.18,0,520500.00,578.00
2019-11-28T24:00:00-08:00,395308.99,0,233237.00,0,505.84,0,691.00,0,655.00,0,0.13,0,520500.00,578.00
2019-11-29T24:00:00-08:00,394930.99,0,233237.00,0,505.84,0,656.00,0,648.00,0,0.02,0,520500.00,578.00
2019-11-30T24:00:00-08:00,394628.99,0,232867.00,0,505.72,0,468.00,0,648.00,0,0.63,0,520500.00,578.00
2019-12-01T24:00:00-08:00,393878.99,0,232467.00,0,505.59,0,450.00,0,647.00,0,0.49,0,520500.00,578.00
2019-12-02T24:00:00-08:00,393353.99,0,232498.00,0,505.60,0,677.00,0,649.00,0,0.02,0,520500.00,578.00
2019-12-03T24:00:00-08:00,392829.99,0,232467.00,0,505.59,0,640.00,0,649.00,0,0.18,0,520500.00,578.00
2019-12-04T24:00:00-08:00,391890.99,0,232621.00,0,505.64,0,743.00,0,649.00,0,0.24,0,520500.00,578.00
2019-12-05T24:00:00-08:00,391261.99,0,232498.00,0,505.60,0,596.00,0,649.00,0,0.00,0,520500.00,578.00
2019-12-06T24:00:00-08:00,390760.99,0,232744.00,0,505.68,0,780.00,0,649.00,0,0.11,0,520500.00,578.00
2019-12-07T24:00:00-08:00,389619.99,0,232775.00,0,505.69,0,668.00,0,649.00,0,0.25,0,520500.00,578.00
2019-12-08T24:00:00-08:00,387603.99,0,232991.00,0,505.76,0,790.00,0,669.00,0,0.03,0,520500.00,578.00
2019-12-09T24:00:00-08:00,386679.99,0,233421.00,0,505.90,0,903.00,0,679.00,0,0.00,0,520500.00,578.00
2019-12-10T24:00:00-08:00,385985.99,0,233637.00,0,505.97,0,790.00,0,678.00,0,0.00,0,520500.00,578.00
2019-12-11T24:00:00-08:00,385351.99,0,233853.00,0,506.04,0,788.00,0,678.00,0,0.00,0,520500.00,578.00
2019-12-12T24:00:00-08:00,384733.99,0,233853.00,0,506.04,0,671.00,0,665.00,0,0.00,0,520500.00,578.00
2019-12-13T24:00:00-08:00,384051.99,0,233884.00,0,506.05,0,675.00,0,658.00,0,0.11,0,520500.00,578.00
2019-12-14T24:00:00-08:00,384532.99,0,234566.00,0,506.27,0,1012.00,0,658.00,0,0.00,0,520500.00,578.00
2019-12-15T24:00:00-08:00,385358.99,0,235776.00,0,506.66,0,1271.00,0,655.00,0,0.00,0,520500.00,578.00
2019-12-16T24:00:00-08:00,387213.99,0,238456.00,0,507.52,0,2014.00,0,655.00,0,0.00,0,520500.00,578.00
2019-12-17T24:00:00-08:00,389188.99,0,240839.00,0,508.28,0,1860.00,0,650.00,0,0.00,0,520500.00,578.00
2019-12-18T24:00:00-08:00,391115.99,0,244093.00,0,509.31,0,2299.00,0,645.00,0,0.00,0,520500.00,578.00
2019-12-19T24:00:00-08:00,392736.99,0,247626.00,0,510.42,0,2443.00,0,640.00,0,0.00,0,520500.00,578.00
2019-12-20T24:00:00-08:00,394432.99,0,250154.00,0,511.21,0,1929.00,0,635.00,0,0.00,0,520500.00,578.00
2019-12-21T24:00:00-08:00,396074.99,0,252439.00,0,511.92,0,1798.00,0,633.00,0,0.00,0,520500.00,578.00
2019-12-22T24:00:00-08:00,397631.99,0,254806.00,0,512.65,0,1818.00,0,621.00,0,0.33,0,520500.00,578.00
2019-12-23T24:00:00-08:00,399135.99,0,257576.00,0,513.50,0,2005.00,0,608.00,0,0.33,0,520500.00,578.00
2019-12-24T24:00:00-08:00,400279.99,0,259638.00,0,514.13,0,1656.00,0,605.00,0,0.02,0,520500.00,578.00
2019-12-25T24:00:00-08:00,401563.99,0,261451.00,0,514.68,0,1548.00,0,602.00,0,0.05,0,520500.00,578.00
2019-12-26T24:00:00-08:00,403438.99,0,264032.00,0,515.46,0,1908.00,0,598.00,0,0.00,0,520500.00,578.00
2019-12-27T24:00:00-08:00,404758.99,0,265925.00,0,516.03,0,1575.00,0,618.00,0,0.00,0,520500.00,578.00
2019-12-28T24:00:00-08:00,405852.99,0,267632.00,0,516.54,0,1498.00,0,628.00,0,0.00,0,520500.00,578.00
2019-12-29T24:00:00-08:00,407163.99,0,268970.00,0,516.94,0,1303.00,0,625.00,0,0.00,0,520500.00,578.00
2019-12-30T24:00:00-08:00,408426.99,0,270992.00,0,517.54,0,1642.00,0,622.00,0,0.00,0,520500.00,578.00
2019-12-31T24:00:00-08:00,409525.99,0,272781.00,0,518.07,0,1473.00,0,567.00,0,0.00,0,520500.00,578.00
2020-01-01T24:00:00-08:00,410869.99,0,274310.00,0,518.52,0,1289.00,0,510.00,0,0.00,0,520500.00,578.00
2020-01-02T24:00:00-08:00,412023.99,0,275125.00,0,518.76,0,924.00,0,510.00,0,0.00,0,520500.00,578.00
2020-01-03T24:00:00-08:00,413261.99,0,276523.00,0,519.17,0,1224.00,0,510.00,0,0.00,0,520500.00,578.00
2020-01-04T24:00:00-08:00,414737.99,0,277789.00,0,519.54,0,1150.00,0,508.00,0,0.00,0,520500.00,578.00
2020-01-05T24:00:00-08:00,416276.99,0,278987.00,0,519.89,0,1114.00,0,508.00,0,0.00,0,520500.00,578.00
2020-01-06T24:00:00-08:00,417408.99,0,280155.00,0,520.23,0,1109.00,0,516.00,0,0.00,0,520500.00,578.00
2020-01-07T24:00:00-08:00,418665.99,0,281222.00,0,520.54,0,1063.00,0,523.00,0,0.00,0,520500.00,578.00
2020-01-08T24:00:00-08:00,420310.99,0,282944.00,0,521.04,0,1392.00,0,522.00,0,0.03,0,520500.00,578.00
2020-01-09T24:00:00-08:00,421935.99,0,285716.00,0,521.84,0,1921.00,0,523.00,0,0.05,0,520500.00,578.00
2020-01-10T24:00:00-08:00,423563.99,0,287947.00,0,522.48,0,1653.00,0,521.00,0,0.00,0,520500.00,578.00
2020-01-11T24:00:00-08:00,425268.99,0,290185.00,0,523.12,0,1645.00,0,511.00,0,0.00,0,520500.00,578.00
2020-01-12T24:00:00-08:00,426849.99,0,292226.00,0,523.70,0,1541.00,0,505.00,0,0.00,0,520500.00,578.00
2020-01-13T24:00:00-08:00,428292.99,0,294239.00,0,524.27,0,1542.00,0,526.00,0,0.00,0,520500.00,578.00
2020-01-14T24:00:00-08:00,429823.99,0,296224.00,0,524.83,0,1534.00,0,527.00,0,0.00,0,520500.00,578.00
2020-01-15T24:00:00-08:00,430965.99,0,297611.00,0,525.22,0,1232.00,0,525.00,0,0.00,0,520500.00,578.00
2020-01-16T24:00:00-08:00,431976.99,0,299218.00,0,525.67,0,1347.00,0,525.00,0,0.45,0,520500.00,578.00
2020-01-17T24:00:00-08:00,432909.99,0,300468.00,0,526.02,0,1177.00,0,538.00,0,0.00,0,520500.00,578.00
2020-01-18T24:00:00-08:00,433839.99,0,301475.00,0,526.30,0,1055.00,0,546.00,0,0.00,0,520500.00,578.00
2020-01-19T24:00:00-08:00,434827.99,0,302842.00,0,526.68,0,1238.00,0,546.00,0,0.00,0,520500.00,578.00
2020-01-20T24:00:00-08:00,435499.99,0,304717.00,0,527.20,0,1505.00,0,559.00,0,0.00,0,520500.00,578.00
2020-01-21T24:00:00-08:00,435499.99,0,305768.00,0,527.49,0,1111.00,0,573.00,0,0.01,0,520500.00,578.00
2020-01-22T24:00:00-08:00,435499.99,0,306710.00,0,527.75,0,1056.00,0,573.00,0,0.00,0,520500.00,578.00
2020-01-23T24:00:00-08:00,435499.99,0,307253.00,0,527.90,0,853.00,0,571.00,0,0.00,0,520500.00,578.00
2020-01-24T24:00:00-08:00,435499.99,0,308090.00,0,528.13,0,1001.00,0,575.00,0,0.00,0,520500.00,578.00
2020-01-25T24:00:00-08:00,435499.99,0,310462.00,0,528.78,0,1770.00,0,574.00,0,0.05,0,520500.00,578.00
2020-01-26T24:00:00-08:00,435499.99,0,313250.00,0,529.54,0,1989.00,0,574.00,0,0.01,0,520500.00,578.00
2020-01-27T24:00:00-08:00,435499.99,0,315308.00,0,530.10,0,1675.00,0,632.00,0,0.00,0,520500.00,578.00
2020-01-28T24:00:00-08:00,435499.99,0,315861.00,0,530.25,0,917.00,0,625.00,0,0.00,0,520500.00,578.00
2020-01-29T24:00:00-08:00,435499.99,0,316266.00,0,530.36,0,835.00,0,624.00,0,0.00,0,520500.00,578.00
2020-01-30T24:00:00-08:00,435499.99,0,316413.00,0,530.40,0,713.00,0,632.00,0,0.00,0,520500.00,578.00
2020-01-31T24:00:00-08:00,435499.99,0,316487.00,0,530.42,0,681.00,0,636.00,0,0.00,0,520500.00,578.00
2020-02-01T24:00:00-08:00,382856.85,0,316303.00,0,530.37,0,553.00,0,636.00,0,0.00,0,520500.00,578.00
2020-02-02T24:00:00-08:00,382131.02,0,316229.00,0,530.35,0,596.00,0,627.00,0,0.00,0,520500.00,578.00
2020-02-03T24:00:00-08:00,381506.44,0,315971.00,0,530.28,0,658.00,0,771.00,0,0.00,0,520500.00,578.00
2020-02-04T24:00:00-08:00,380876.60,0,315566.00,0,530.17,0,615.00,0,808.00,0,0.00,0,520500.00,578.00
2020-02-05T24:00:00-08:00,380177.31,0,315198.00,0,530.07,0,618.00,0,790.00,0,0.00,0,520500.00,578.00
