month_day,day_of_year,mean_inflow,std_inflow
05-13,133,4082.5,2288.676167036519
05-14,134,5377.714285714285,4649.858100566156
05-15,135,5377.714285714285,4649.858100566156
05-16,136,5377.714285714285,4649.858100566156
05-17,137,5377.714285714285,4649.858100566156
05-18,138,5377.714285714285,4649.858100566156
05-19,139,5377.714285714285,4649.858100566156
05-20,140,5377.714285714285,4649.858100566156
05-21,141,4930.0,4776.549774680465
05-22,142,4930.0,4776.549774680465
05-23,143,4930.0,4776.549774680465
05-24,144,4930.0,4776.549774680465
05-25,145,4930.0,4776.549774680465
05-26,146,4930.0,4776.549774680465
05-27,147,4930.0,4776.549774680465
05-28,148,5181.285714285715,5080.544714821742
05-29,149,5181.285714285715,5080.544714821742
05-30,150,5181.285714285715,5080.544714821742
05-31,151,5181.285714285715,5080.544714821742
06-01,152,5181.285714285715,5080.544714821742
06-02,153,5181.285714285715,5080.544714821742
06-03,154,5181.285714285715,5080.544714821742
06-04,155,5267.119047619048,5176.69904335591
06-05,156,5267.119047619048,5176.69904335591
06-06,157,5267.119047619048,5176.69904335591
06-07,158,5267.119047619048,5176.69904335591
06-08,159,5267.119047619048,5176.69904335591
06-09,160,5267.119047619048,5176.69904335591
06-10,161,5267.119047619048,5176.69904335591
06-11,162,4677.785714285715,4881.822523206228
06-12,163,4677.785714285715,4881.822523206228
06-13,164,4677.785714285715,4881.822523206228
06-14,165,4677.785714285715,4881.822523206228
06-15,166,4677.785714285715,4881.822523206228
06-16,167,4677.785714285715,4881.822523206228
06-17,168,4677.785714285715,4881.822523206228
06-18,169,3688.5476190476193,4632.878703683378
06-19,170,3688.5476190476193,4632.878703683378
06-20,171,3688.5476190476193,4632.878703683378
06-21,172,3688.5476190476193,4632.878703683378
06-22,173,3688.5476190476193,4632.878703683378
06-23,174,3688.5476190476193,4632.878703683378
06-24,175,3688.5476190476193,4632.878703683378
06-25,176,3164.9523809523807,3964.013529993282
06-26,177,3164.9523809523807,3964.013529993282
06-27,178,3164.9523809523807,3964.013529993282
06-28,179,3164.9523809523807,3964.013529993282
06-29,180,3164.9523809523807,3964.013529993282
06-30,181,3164.9523809523807,3964.013529993282
07-01,182,3164.9523809523807,3964.013529993282
07-02,183,3667.948717948718,5335.198831931975
07-03,184,3667.948717948718,5335.198831931975
07-04,185,3667.948717948718,5335.198831931975
07-05,186,3667.948717948718,5335.198831931975
07-06,187,3667.948717948718,5335.198831931975
07-07,188,3667.948717948718,5335.198831931975
07-08,189,3667.948717948718,5335.198831931975
07-09,190,3057.942857142857,3660.4103429795405
07-10,191,3057.942857142857,3660.4103429795405
07-11,192,3057.942857142857,3660.4103429795405
07-12,193,3057.942857142857,3660.4103429795405
07-13,194,3057.942857142857,3660.4103429795405
07-14,195,3057.942857142857,3660.4103429795405
07-15,196,3057.942857142857,3660.4103429795405
07-16,197,2796.114285714286,3191.162518871256
07-17,198,2796.114285714286,3191.162518871256
07-18,199,2796.114285714286,3191.162518871256
07-19,200,2796.114285714286,3191.162518871256
